Name,Country,Type,Lat,Lon,Elv
Heard,Australia,Stratovolcano,-53.1,73.5,2745.0
Hierro,Spain,Shield,27.73,-18.03,1500.0
Hualalai,USA,Shield,19.69,-155.87,2523.0
Ijen,Indonesia,Stratovolcano,-8.06,114.24,2386.0
Iliboleng,Indonesia,Stratovolcano,-8.34,123.26,1659.0
Ilopango,El Salvador,Caldera,13.67,-89.05,450.0
Ioto (Iwo-jima),Japan,Caldera,24.75,141.29,161.0
Irazu,Costa Rica,Stratovolcano,9.98,83.85,3431.0
Izalco,El Salvador,Stratovolcano,13.81,-89.63,1950.0
Izu-Tobu,Japan,Pyroclastic Cone,34.9,139.1,581.0
Jefferson,USA,Stratovolcano,44.67,-121.8,3199.0
Kadovar,Papua New Guinea,Stratovolcano,-3.63,144.63,365.0
Kahoolawe,United States,Shield,20.55,-156.57,450.0
Kanaga,United States,Stratovolcano,51.92,-177.17,1307.0
Karangetang [Api Siau],Indonesia,Stratovolcano,2.78,125.4,1784.0
Karthala,Comoros,Shield,-11.75,43.38,2361.0
Katla,Iceland,Fissure vents,63.63,-19.05,1512.0
Katwe-Kikorongo,Uganda,Volcanic Field,-0.08,29.92,1067.0
Kell,Russia,Stratovolcano,51.65,157.35,900.0
Kerinci,Indonesia,Stratovolcano,1.7,101.26,3800.0
Kialagvik,United States,Stratovolcano,57.2,-156.75,1677.0
Kikai,Japan,Caldera,30.79,130.31,704.0
Kilauea,United States,Shield,19.42,-155.29,1222.0
Kirishima,Japan,Stratovolcano,31.93,130.86,1700.0
Komagatake,Japan,Stratovolcano,42.06,140.68,1131.0
Koryaksky,Russia,Stratovolcano,53.32,158.69,3456.0
Krafla,Iceland,Caldera,65.73,-16.78,818.0
Krasheninnikov,Russia,Stratovolcano,54.59,160.27,1856.0
Ksudach,Russia,Stratovolcano,51.8,157.53,1079.0
Kusatsu-Shirane,Japan,Stratovolcano,36.64,138.54,2171.0
Kuttara,Japan,Stratovolcano,42.49,141.16,581.0
La Palma,Spain,Stratovolcano,28.57,-17.83,2426.0
Langila,Papua New Guinea,Stratovolcano,-5.53,148.42,1330.0
Láscar,Chile,Stratovolcano,-23.37,-67.73,5592.0
Lewotobi,Indonesia,Stratovolcano,-8.54,122.78,1703.0
Liamuiga,St. Kitts and Nevis,Stratovolcano,17.37,-62.8,1156.0
Little Sitkin,United States,Stratovolcano,51.95,178.54,1174.0
Lokon-Empung,Indonesia,Stratovolcano,1.36,124.79,1580.0
Lolobau,Papua New Guinea,Caldera,-4.92,151.16,858.0
Long Island,Papua New Guinea,Complex Volcano,-5.36,147.12,1280.0
Lopevi,Vanuatu,Stratovolcano,-16.51,168.35,1413.0
Mageik,United States,Stratovolcano,58.2,155.25,2165.0
Makian,Indonesia,Stratovolcano,0.32,127.4,1357.0
Manam,Papua New Guinea,Stratovolcano,-4.08,145.04,1807.0
Marsabit,Kenya,Shield,2.32,37.97,1707.0
Mashkovtsev,Russia,Stratovolcano,51.1,156.72,503.0
Mauna Kea,United States,Shield,19.82,-155.47,4205.0
Mayon,Philippines,Stratovolcano,13.26,123.69,2462.0
McLoughlin,United States,Stratovolcano,42.45,-122.32,2894.0
Menan Buttes,United States,Tuff Ring,43.7,-111.96,1713.0
Merapi,Indonesia,Stratovolcano,-7.54,110.44,2911.0
Meru,Tanzania,Stratovolcano,-3.25,36.75,4565.0
Metis Shoal,Tonga,Submarine,-19.18,-174.87,43.0
Michoacan-Guanajuato,Mexico,Cinder Cone,19.85,-101.75,3860.0
Miyake-jima,Japan,Stratovolcano,34.08,139.53,815.0
Mojanda,Ecuador,Stratovolcano,0.13,-78.27,4263.0
Monaco Bank,Portugal,Submarine,37.6,-25.88,-197.0
Monowai Seamount,New Zealand,Submarine,-25.89,-177.19,-132.0
Muria,Indonesia,Stratovolcano,-6.62,110.88,1625.0
Nasu,Japan,Stratovolcano,37.12,139.97,1915.0
"Negro, Cerro",Nicaragua,Cinder Cone,12.51,-86.7,728.0
Nevis Peak,St. Kitts and Nevis,Stratovolcano,17.15,-62.58,985.0
Newer Volcanics Province,Australia,Shield,-37.77,142.5,1011.0
Nikko-Shirane,Japan,Shield,36.8,139.38,2578.0
Nisyros,Greece,Stratovolcano,36.59,27.16,698.0
Nyamuragira,Democratic Republic of Congo,Shield,-1.41,29.2,3058.0
Okataina,New Zealand,Dome,-38.12,176.50,1111
Oku Volcanic Field,Cameroon,Stratovolcano,6.25,10.5,3011.0
Opala,Russia,Caldera,52.54,157.34,1776.0
Oshima,Japan,Stratovolcano,34.72,139.4,764.0
Pagan,United States,Stratovolcano,18.13,145.8,570.0
Papandayan,Indonesia,Stratovolcano,-7.32,107.73,2665.0
Parinacota,Chile/Bolivia,Stratovolcano,-18.17,-69.15,6348.0
Pavlof,United States,Stratovolcano,55.42,-161.89,2519.0
Pelee,France,Stratovolcano,14.82,-61.17,1397.0
Pico,Portugal,Stratovolcano,38.47,-28.4,2351.0
Pinacate,Mexico,Cinder Cone,31.77,-113.5,1200.0
Pisgah Lava Field,United States,Volcanic Field,34.75,-116.63,1495.0
Poas,Costa Rica,Stratovolcano,10.2,-84.23,2708.0
Prevo Peak,Russia,Stratovolcano,47.02,152.12,1360.0
"Quill, The",Netherlands,Stratovolcano,17.48,-62.96,601.0
Ragang,Phillippines,Stratovolcano,7.7,124.5,2815.0
Rainier,United States,Stratovolcano,46.85,-121.76,4392.0
Raoul,New Zealand,Stratovolcano,-29.27,-177.92,516.0
Raung,Indonesia,Stratovolcano,-8.13,114.04,3332.0
Redoubt,United States,Stratovolcano,60.49,-152.74,3108.0
Rincon de la Vieja,Costa Rica,Complex Volcano,10.83,-85.32,1916.0
Ruapehu,New Zealand,Stratovolcano,-39.28,175.57,2797.0
"Ruiz, Nevado del",Colombia,Stratovolcano,4.89,-75.32,5321.0
Saba,Netherlands,Stratovolcano,17.63,-63.23,887.0
Sakar,Papua New Guinea,Stratovolcano,-5.41,148.09,992.0
Salak,Indonesia,Stratovolcano,-6.72,106.73,2211.0
San Salvador,El Salvador,Stratovolcano,13.73,-89.29,1893.0
Sanford,United States,Shield,62.22,-144.13,4949.0
Santa Ana,El Salvador,Stratovolcano,13.85,-89.63,2381.0
Santorini,Greece,Shield,36.4,25.4,367.0
Savo,Solomon Islands,Stratovolcano,-9.13,159.82,485.0
Semeru,Indonesia,Stratovolcano,-8.11,112.92,3676.0
Sete Cidades,Portugal,Stratovolcano,37.87,-25.78,856.0
Sheveluch,Russia,Stratovolcano,56.65,161.36,3283.0
Shiretoko-Iwo-zan,Japan,Stratovolcano,44.13,145.17,1563.0
Sinarka,Russia,Stratovolcano,48.88,154.18,934.0
Sollipulli,Chile,Caldera,-38.97,-71.52,2282.0
Soufriere Guadeloupe,France,Stratovolcano,16.05,-61.67,1467.0
Soufrière St. Vincent,St. Vincent,Stratovolcano,13.33,-61.18,1220.0
SP Mountain,United States,Cinder Cone,35.6,-111.6,2141.0
Srednii,Russia,Submarine,47.6,152.92,36.0
Stromboli,Italy,Stratovolcano,38.79,15.21,924.0
Sumbing,Indonesia,Stratovolcano,-7.38,110.07,3371.0
Sunset Craters,United States,Cinder Cone,35.37,-111.5,2447.0
Suwanose-jima,Japan,Stratovolcano,29.64,129.72,799.0
Talang,Indonesia,Stratovolcano,-0.98,100.68,2597.0
Tambora,Indonesia,Stratovolcano,-8.25,118.0,2850.0
Tanaga and Takawangha,United States,Stratovolcano,51.89,-178.15,1806.0
Tao-Rusyr Caldera,Russia,Stratovolcano,49.35,154.7,1325.0
Telica Volcano,Nicaragua,Stratovolcano,12.6,-86.85,1010.0
Tengger Caldera and Bromo,Indonesia,Stratovolcano,-7.94,112.95,2329.0
Three Sisters,United States,Stratovolcano,44.1,121.77,3100.0
Tiatia,Russia,Stratovolcano,44.35,146.26,1819.0
Todoko-Ranu,Indonesia,Caldera,1.25,127.47,979.0
Tolbachik,Russia,Stratovolcano,55.83,160.33,3682.0
Towada,Japan,Caldera,40.47,140.92,1159.0
Tri Sestry,Russia,Stratovolcano,45.93,149.92,998.0
Tsurumi,Japan,Dome,33.28,131.43,1584.0
Ubehebe Craters,United States,Maar,37.02,-117.45,752.0
Udina,Russia,Stratovolcano,55.76,160.53,2923.0
Uinkaret Volcanic Field,United States,Volcanic Field,36.38,-113.13,1555.0
Umboi,Papua New Guinea,Complex Volcano,-5.59,147.88,1548.0
Ungaran and Telomoyo,Indonesia,,-7.18,110.33,2050.0
Urataman,Russia,Somma Volcano,47.12,152.25,678.0
Usu,Japan,Stratovolcano,42.54,140.84,737.0
Veniaminof,United States,Stratovolcano,56.17,-159.38,2507.0
Vesuvius,Italy,Somma Volcano,40.82,14.43,1281.0
Vilyuchik,Russia,Stratovolcano,52.7,158.28,2173.0
Vsevidof and Recheschnoi Volcanoes,United States,Stratovolcano,53.13,-168.69,2149.0
Washington,United States,Shield,44.3,-121.8,2376.0
Westdahl,United States,Stratovolcano,54.52,-164.65,1654.0
Wrangell,United States,Shield,62.0,-144.02,4317.0
Yake-dake,Japan,Stratovolcano,36.22,137.59,2455.0
Yantarni,United States,Stratovolcano,57.02,-157.19,1345.0
Yellowstone,United States,Caldera,44.43,-110.67,2805.0
Zheltovsky,Russia,,51.57,157.32,1953.0
Zimina,Russia,Stratovolcano,55.86,160.6,3081.0
